ItemName
Alfalfa Sprouts
Algae (Spirulina)
All-Purpose Flour
Almond Butter
Almond Milk
Almonds
Amaranth
Anchovies (Canned)
Apple (Fuji)
Apple (Gala)
Apple (Granny Smith)
Apple Cider
Apple Cider Vinegar
Apple Juice
Applesauce (Unsweetened)
Apricot (Dried)
Apricot (Fresh)
Artichoke (Globe)
Arugula
Asparagus (Green)
Asparagus (White)
Avocado (Hass)
Baba Ganoush
Baby Back Ribs (Pork)
Baby Carrots
Bacon (Pork)
Bagel (Everything)
Bagel (Plain)
Baguette (French Bread)
Baking Chocolate (Unsweetened)
Baking Powder
Baking Soda
Balsamic Vinegar
Banana (Cavendish)
Banana Chips
Barley (Pearled)
Basmati Rice
Basil (Fresh)
Basil Pesto
Bay Leaves (Dried)
Bean Sprouts (Mung)
Beans (Adzuki)
Beans (Black)
Beans (Cannellini)
Beans (Chickpeas/Garbanzo)
Beans (Fava)
"Beans (Green, Fresh)"
Beans (Kidney)
Beans (Lima)
Beans (Navy)
Beans (Pinto)
Beef (Brisket)
"Beef (Ground, 85% Lean)"
Beef (Ribeye Steak)
Beef (Sirloin Steak)
Beef Stock (Low Sodium)
Beer (Lager)
Beet Greens
Beetroot (Fresh)
Bell Pepper (Green)
Bell Pepper (Orange)
Bell Pepper (Red)
Bell Pepper (Yellow)
Berries (Goji)
Biscotti
Black Pepper (Whole Peppercorns)
Black Pudding (Blood Sausage)
Black Tea (Loose Leaf)
Blackberries (Fresh)
Blackcurrants
Blue Cheese (Crumbled)
Blueberries (Fresh)
Bok Choy
Bologna (Sliced)
Bottled Water (Spring)
Bouillon Cubes (Chicken)
Bouillon Cubes (Vegetable)
Bran Flakes
Brazil Nuts
Bread (Multigrain)
Bread (Pita)
Bread (Rye)
Bread (Sourdough)
Bread (White)
Bread (Whole Wheat)
Bread Crumbs (Plain)
Breadsticks
Brie Cheese
Broccoli (Florets)
Broccolini
Brown Rice
Brown Sugar (Light)
Brussels Sprouts
Bulgur Wheat
Burrata Cheese
Butter (Salted)
Butter (Unsalted)
Buttermilk
Butternut Squash
Cabbage (Green)
Cabbage (Napa)
Cabbage (Red)
Cacao Nibs
Cacao Powder
Cactus (Nopales)
Camembert Cheese
Canola Oil
Cantaloupe
Capers (Brined)
Caraway Seeds
Cardamom (Pods)
Carrot (Fresh)
Cashew Butter
Cashews (Raw)
Cassava (Yuca)
Catfish (Fresh Fillet)
Cauliflower (White)
Caviar (Sturgeon)
Cayenne Pepper (Ground)
Celery (Stalks)
Celery Root (Celeriac)
Cereal (Corn Flakes)
Cereal (Oatmeal Rolled)
Cereal (Rice Puffs)
Chard (Swiss)
Cheddar Cheese (Aged)
Cheese Curds
Cherries (Sweet)
Cherry Tomatoes
Chestnuts (Roasted)
Chia Seeds
Chickpea Flour (Besan)
"Chicken (Breast, Boneless)"
Chicken (Drumsticks)
Chicken (Whole)
Chicken Broth (Low Sodium)
Chili Oil
Chili Paste (Gochujang)
Chili Peppers (Jalapeño)
Chili Peppers (Thai Bird)
Chili Powder
Chocolate Chips (Dark)
Chocolate Chips (Milk)
Chocolate Chips (White)
Chocolate Spread (Hazelnut)
Chorizo (Spanish)
Cilantro (Fresh)
Cinnamon (Ground)
Cinnamon Sticks
Clams (Canned)
Cloves (Whole)
Cocoa Powder (Dutch Process)
Coconut (Fresh)
Coconut Cream
Coconut Flakes (Unsweetened)
Coconut Milk (Canned)
Coconut Oil (Virgin)
Cod (Fresh Fillet)
"Coffee (Beans, Arabica)"
Coffee (Instant Powder)
Colby Cheese
Collard Greens
Condensed Milk (Sweetened)
Cookie Dough (Refrigerated)
Cookies (Chocolate Chip)
Cookies (Ginger Snap)
Cookies (Shortbread)
Coriander (Ground)
Coriander (Seeds)
Corn (Canned)
Corn (Fresh Ears)
Corn Tortillas
Cornbread
Cornmeal (Yellow)
Cornstarch
Cottage Cheese (Low-Fat)
Cotija Cheese
Couscous (Moroccan)
Crab (Lump Meat)
Cranberries (Dried)
Cranberries (Fresh)
Crème Fraîche
Croutons (Seasoned)
Cucumber (English)
Cumin (Ground)
Cumin Seeds
Currants (Dried)
Curry Leaves (Fresh)
Curry Paste (Red)
Curry Powder (Mild)
Daikon Radish
Dandelion Greens
"Dates (Dried, Pitted)"
Deli Ham (Sliced)
Deli Roast Beef (Sliced)
Deli Turkey (Sliced)
Demi-Glace (Beef)
Dill (Fresh)
Dill Pickles
Doughnuts (Glazed)
Dragonfruit (Pitaya)
Dried Apricots
Dried Blueberries
Dried Cherries
Dried Cranberries (Sweetened)
Dried Figs
Dried Mango
Dried Papaya
Dried Pineapple
Dried Porcini Mushrooms
Dried Raisins (Golden)
Duck (Whole)
Edam Cheese
Edamame (Shelled)
Egg Noodles (Dried)
Egg Rolls (Frozen)
Egg Whites (Carton)
Eggplant (Globe)
"Eggs (Large, Grade A)"
Elderberries
Endive (Belgian)
Enoki Mushrooms
Escarole
Evaporated Milk (Canned)
Fava Beans (Dried)
Fennel (Bulb)
Fennel Seeds
Feta Cheese (Crumbled)
Fig (Fresh)
Figs (Dried Turkish)
